[41, 12, 2, 63, 48, 11, 52, 46, 29, 92, 35, 36, 72, 96, 74, 79, 14, 15, 64, 43, 70, 97, 56, 85, 82, 81, 97, 5, 2, 40, 3, 25, 87, 46, 43, 16, 21, 85, 63, 19, 85, 62, 61, 35, 13, 15, 35, 73, 82, 89, 59, 95, 93, 100, 70, 41, 93, 18, 73, 21, 47, 41, 31, 92, 63, 54, 62, 16, 68, 87, 7, 73, 38, 25, 63, 74, 12, 31, 15, 34, 55, 93, 8, 48, 95, 90, 24, 14, 52, 49, 51, 1, 82, 37, 81, 46, 4, 88, 90, 17, 65, 34, 45, 17, 78, 86, 98, 1, 1, 8, 21, 90, 47, 53, 82, 63, 87, 60, 56, 69, 65, 84, 56, 1, 17, 100, 54, 49, 50, 81, 20, 32, 86, 40, 57, 21, 10, 65, 6, 11, 41, 95, 21, 99, 35, 71, 29, 31, 86, 60]
[7, 15, 99, 40, 40, 67, 62, 27, 53, 74, 11, 87, 54, 67, 72, 12, 74, 3, 69, 57, 78, 6, 96, 65, 25, 77, 53, 24, 44, 69, 65, 72, 90, 83, 27, 77, 96, 71, 66, 29, 87, 62, 42, 47, 27, 55, 12, 79, 84, 5, 56, 6, 99, 38, 46, 99, 14, 39, 53, 66, 26, 99, 98, 82, 91, 99, 32, 26, 3, 44, 41, 63, 92, 52, 45, 34, 66, 91, 90, 96, 88, 17, 82, 51, 97, 6, 15, 42, 76, 7, 72, 60, 93, 57, 53, 48, 56, 50, 6, 37, 88, 54, 27, 64, 27, 38, 24, 43, 51, 67, 100, 2, 97, 39, 18, 14, 94, 31, 52, 66, 39, 95, 73, 40, 16, 45, 32, 32, 24, 18, 92, 64, 62, 78, 83, 5, 3, 50, 20, 68, 4, 82, 44, 28, 96, 38, 77, 38, 70, 51]
[7, 42, 56, 75, 40, 85, 23, 1, 7, 15, 22, 38, 7, 10, 21, 80, 92, 13, 86, 84, 35, 80, 88, 34, 61, 4, 6, 2, 40, 28, 93, 1, 85, 92, 93, 1, 87, 7, 38, 93, 53, 60, 35, 100, 24, 60, 4, 100, 75, 9, 5, 71, 68, 91, 87, 75, 5, 35, 85, 89, 84, 69, 50, 66, 5, 18, 85, 74, 7, 31, 31, 25, 92, 9, 97, 58, 91, 84, 84, 43, 77, 3, 43, 58, 80, 66, 18, 100, 13, 49, 72, 65, 57, 2, 22, 20, 60, 11, 48, 95, 70, 34, 64, 44, 94, 96, 9, 52, 92, 41, 49, 22, 20, 47, 95, 60, 19, 1, 70, 72, 57, 78, 90, 32, 65, 61, 94, 43, 20, 78, 33, 69, 31, 97, 5, 54, 50, 73, 60, 95, 20, 71, 41, 40, 56, 25, 36, 49, 68, 86]
[49, 32, 70, 38, 83, 11, 31, 50, 90, 81, 63, 14, 51, 69, 82, 99, 57, 42, 98, 91, 92, 19, 68, 13, 51, 88, 14, 79, 86, 35, 79, 1, 3, 66, 92, 22, 63, 83, 15, 56, 91, 50, 3, 55, 31, 73, 48, 33, 85, 60, 44, 55, 26, 84, 56, 28, 82, 11, 74, 32, 13, 43, 73, 40, 5, 68, 70, 9, 5, 37, 80, 72, 41, 62, 3, 1, 65, 99, 6, 13, 34, 11, 7, 46, 80, 54, 80, 74, 54, 8, 49, 24, 81, 48, 5, 12, 74, 84, 60, 42, 70, 67, 30, 44, 21, 24, 48, 94, 95, 11, 82, 67, 46, 55, 76, 84, 8, 14, 87, 57, 76, 96, 48, 46, 61, 99, 32, 25, 83, 54, 33, 35, 66, 68, 23, 61, 66, 3, 37, 60, 9, 95, 86, 5, 10, 45, 80, 18, 91, 36]
[57, 73, 1, 78, 71, 32, 16, 99, 70, 91, 32, 17, 59, 2, 21, 51, 23, 100, 3, 18, 86, 93, 95, 87, 5, 4, 14, 27, 23, 19, 52, 70, 70, 79, 9, 1, 62, 66, 78, 72, 92, 60, 48, 22, 19, 45, 74, 71, 66, 38, 89, 37, 56, 57, 35, 66, 53, 11, 32, 53, 22, 36, 4, 42, 14, 37, 95, 29, 59, 54, 36, 63, 16, 81, 84, 62, 82, 5, 95, 98, 18, 66, 42, 59, 98, 100, 31, 31, 52, 53, 37, 56, 42, 16, 26, 14, 87, 65, 66, 42, 90, 80, 4, 57, 5, 44, 89, 94, 78, 37, 24, 2, 27, 20, 96, 98, 51, 65, 19, 68, 28, 3, 92, 2, 94, 36, 14, 33, 16, 35, 33, 88, 56, 24, 41, 14, 34, 67, 97, 89, 82, 15, 52, 30, 34, 65, 46, 88, 38, 80]
[92, 15, 50, 52, 96, 96, 62, 38, 22, 38, 34, 83, 6, 31, 6, 31, 46, 25, 24, 19, 1, 79, 17, 14, 35, 43, 27, 80, 27, 65, 42, 84, 9, 23, 59, 14, 4, 97, 33, 1, 26, 81, 69, 53, 52, 12, 51, 68, 82, 76, 66, 76, 60, 31, 92, 27, 37, 67, 50, 56, 6, 21, 43, 62, 45, 74, 12, 79, 47, 81, 88, 20, 80, 85, 64, 9, 32, 97, 35, 77, 86, 59, 32, 44, 79, 47, 3, 53, 57, 61, 31, 50, 12, 48, 71, 98, 35, 77, 81, 23, 94, 40, 71, 88, 35, 12, 32, 89, 58, 80, 26, 47, 71, 18, 52, 30, 64, 29, 41, 56, 69, 39, 18, 34, 95, 87, 35, 84, 16, 87, 14, 66, 5, 96, 92, 67, 42, 30, 89, 61, 44, 9, 82, 20, 48, 90, 54, 34, 89, 70]
[8, 25, 7, 53, 57, 84, 99, 88, 66, 30, 17, 34, 7, 68, 73, 82, 55, 80, 62, 33, 11, 14, 67, 59, 73, 56, 83, 5, 95, 19, 7, 31, 94, 85, 3, 64, 80, 18, 12, 43, 70, 55, 31, 13, 53, 76, 4, 87, 77, 63, 26, 24, 19, 42, 98, 67, 49, 47, 55, 57, 75, 43, 21, 30, 29, 53, 35, 19, 10, 60, 68, 11, 42, 86, 34, 22, 79, 25, 72, 61, 58, 74, 44, 61, 48, 64, 99, 48, 21, 99, 68, 38, 6, 23, 88, 94, 10, 26, 73, 24, 98, 34, 77, 28, 73, 46, 86, 69, 88, 98, 99, 14, 54, 1, 30, 21, 68, 30, 92, 38, 5, 84, 93, 71, 98, 85, 21, 65, 69, 72, 67, 13, 73, 83, 13, 83, 90, 23, 15, 71, 97, 13, 100, 97, 46, 36, 43, 60, 99, 75]
[69, 82, 14, 7, 5, 2, 16, 6, 50, 54, 79, 25, 75, 7, 82, 18, 80, 73, 96, 25, 7, 49, 50, 90, 5, 22, 54, 45, 38, 58, 44, 29, 36, 86, 47, 22, 96, 71, 23, 66, 77, 100, 52, 92, 49, 57, 14, 20, 4, 95, 90, 16, 34, 42, 42, 26, 69, 80, 15, 66, 67, 59, 54, 22, 55, 1, 83, 64, 98, 16, 53, 28, 64, 45, 63, 3, 59, 54, 58, 3, 95, 72, 53, 25, 46, 59, 94, 24, 55, 85, 88, 30, 34, 46, 3, 75, 54, 40, 53, 65, 11, 43, 22, 95, 86, 21, 49, 93, 95, 81, 2, 82, 88, 52, 85, 22, 68, 72, 6, 23, 97, 88, 63, 50, 12, 75, 48, 57, 56, 74, 99, 49, 58, 72, 56, 9, 24, 2, 91, 42, 34, 38, 9, 65, 44, 70, 22, 41, 9, 52]
[3, 49, 70, 87, 45, 47, 90, 97, 58, 87, 11, 70, 73, 29, 62, 14, 100, 1, 13, 43, 42, 66, 44, 91, 71, 41, 90, 18, 6, 88, 25, 82, 36, 3, 78, 73, 55, 58, 44, 92, 79, 49, 75, 74, 57, 70, 7, 20, 49, 81, 47, 7, 88, 16, 25, 24, 15, 37, 34, 85, 84, 78, 14, 28, 5, 37, 71, 82, 56, 14, 87, 36, 17, 33, 50, 56, 29, 95, 39, 11, 32, 57, 33, 31, 98, 27, 87, 95, 99, 63, 9, 17, 26, 33, 91, 79, 30, 78, 98, 32, 58, 65, 51, 23, 41, 30, 10, 47, 66, 48, 78, 73, 27, 73, 66, 41, 55, 16, 20, 1, 51, 73, 31, 72, 66, 100, 84, 26, 48, 19, 49, 3, 25, 77, 99, 26, 76, 90, 13, 1, 65, 9, 45, 99, 27, 3, 79, 36, 14, 95]
[74, 70, 2, 26, 22, 7, 20, 11, 97, 40, 10, 65, 7, 96, 59, 53, 33, 65, 79, 18, 45, 22, 10, 12, 25, 67, 55, 36, 69, 8, 72, 76, 75, 71, 69, 1, 80, 83, 82, 73, 82, 96, 32, 88, 74, 90, 17, 47, 34, 1, 47, 7, 23, 18, 17, 69, 69, 30, 75, 70, 61, 91, 32, 75, 54, 49, 74, 64, 26, 11, 28, 78, 50, 87, 80, 100, 27, 4, 63, 35, 25, 80, 75, 23, 65, 72, 1, 96, 46, 42, 19, 82, 81, 5, 7, 44, 48, 99, 14, 13, 94, 20, 95, 97, 44, 99, 100, 62, 80, 60, 88, 86, 21, 48, 81, 70, 82, 81, 88, 91, 46, 44, 3, 87, 43, 61, 69, 7, 38, 97, 46, 7, 14, 59, 73, 16, 2, 81, 34, 24, 12, 82, 82, 58, 72, 84, 45, 77, 18, 62]
